measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
1,1,0.0,<music21.chord.Chord G#3>,[0],[8],Poulenc_Les_chemins_de_lamour.mxl,Poulenc
1,2,1.0,<music21.chord.Chord G#3 C#5 F#5 B-5 D#6>,"[0, 2, 4, 7, 9]","[6, 8, 10, 1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
1,3,2.0,<music21.chord.Chord G#3 C5 G#5 C6 F6>,"[0, 3, 7]","[5, 8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
2,1,3.0,<music21.chord.Chord G#3 B4 F5 A-5 C#6>,"[0, 3, 6, 8]","[5, 8, 11, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
2,2,4.0,<music21.chord.Chord G#3 B-4 G5 B-5 D#6>,"[0, 4, 5, 7]","[3, 7, 8, 10]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
2,3,5.0,<music21.chord.Chord G#3 A4 D5 F#5 B5>,"[0, 2, 3, 5, 8]","[6, 8, 9, 11, 2]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
3,1,6.0,<music21.chord.Chord G#3 G#4 C#5 F5 C6>,"[0, 1, 5, 8]","[0, 1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
3,2,7.0,<music21.chord.Chord G#3 G4 C#5 E5 A-5>,"[0, 3, 6, 7]","[1, 4, 7, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
3,3,8.0,<music21.chord.Chord G#3 F#4 B4 D#5 A5>,"[0, 3, 5, 6, 8]","[3, 6, 8, 9, 11]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
4,1,9.0,<music21.chord.Chord D#3 C#4 G4 B4 D#5>,"[0, 2, 4, 8]","[11, 1, 3, 7]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
5,1,12.0,<music21.chord.Chord G#2 F#3 C4 E4 G#4>,"[0, 2, 4, 8]","[4, 6, 8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
6,1,15.0,<music21.chord.Chord G#2 F#3 C4 E-4 G#4>,"[0, 3, 6, 8]","[0, 3, 6, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
6,3,17.0,<music21.chord.Chord G#2 F#3 G#4>,"[0, 2]","[6, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
7,1,18.0,<music21.chord.Chord C#2 G#4>,"[0, 5]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
7,2,19.0,<music21.chord.Chord C#2 G#2 E3 C#4 E4 A4>,"[0, 1, 5, 8]","[8, 9, 1, 4]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
7,3 1/2,20.5,<music21.chord.Chord C#2 G#2 E3 C#4 G#4>,"[0, 3, 7]","[1, 4, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
8,1,21.0,<music21.chord.Chord G#1 C#4>,"[0, 5]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
8,2,22.0,<music21.chord.Chord G#1 G#2 E3 G#3 C#4 D#4>,"[0, 2, 3, 7]","[1, 3, 4, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
8,3 1/2,23.5,<music21.chord.Chord G#1 C#4 E4>,"[0, 3, 7]","[1, 4, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
9,1,24.0,<music21.chord.Chord D#2 G#4>,"[0, 5]","[3, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
9,2,25.0,<music21.chord.Chord D#2 G#2 F#3 C#4 F#4 G#4>,"[0, 2, 5, 7]","[1, 3, 6, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
