offset,Chord,NormalForm,PCsInNormalForm,file,Composer,Measure Number,Measure Count
0,<music21.chord.Chord D4 D1 D2>,[0],[2],Rhapsody 79 2 G minor.mid,Brahms,0,4
0.5,<music21.chord.Chord D3 D4 D2>,[0],[2],Rhapsody 79 2 G minor.mid,Brahms,0,4.5
0.666666667,<music21.chord.Chord D4 D3>,[0],[2],Rhapsody 79 2 G minor.mid,Brahms,0,4.666666667
0.833333333,<music21.chord.Chord D4>,[0],[2],Rhapsody 79 2 G minor.mid,Brahms,0,4.833333333
0.875,<music21.chord.Chord A3 D4>,"[0, 5]","[9, 2]",Rhapsody 79 2 G minor.mid,Brahms,0,4.875
1,<music21.chord.Chord A3>,[0],[9],Rhapsody 79 2 G minor.mid,Brahms,1,1
1.25,<music21.chord.Chord E-4 G1 G2 A3>,"[0, 4, 6]","[3, 7, 9]",Rhapsody 79 2 G minor.mid,Brahms,1,1.25
1.375,<music21.chord.Chord E-4 G1 G2>,"[0, 4]","[3, 7]",Rhapsody 79 2 G minor.mid,Brahms,1,1.375
1.666666667,<music21.chord.Chord E-3 E-4 G1 G2>,"[0, 4]","[3, 7]",Rhapsody 79 2 G minor.mid,Brahms,1,1.666666667
1.75,<music21.chord.Chord E-4 E-3 G2>,"[0, 4]","[3, 7]",Rhapsody 79 2 G minor.mid,Brahms,1,1.75
1.875,<music21.chord.Chord E-4 E-3>,[0],[3],Rhapsody 79 2 G minor.mid,Brahms,1,1.875
2,<music21.chord.Chord B-3 E-4 E-3>,"[0, 5]","[10, 3]",Rhapsody 79 2 G minor.mid,Brahms,1,2
2.041666667,<music21.chord.Chord E-4 B-3>,"[0, 5]","[10, 3]",Rhapsody 79 2 G minor.mid,Brahms,1,2.041666667
2.333333333,<music21.chord.Chord E-4>,[0],[3],Rhapsody 79 2 G minor.mid,Brahms,1,2.333333333
2.5,<music21.chord.Chord G4 E-4>,"[0, 4]","[3, 7]",Rhapsody 79 2 G minor.mid,Brahms,1,2.5
2.833333333,<music21.chord.Chord E-4>,[0],[3],Rhapsody 79 2 G minor.mid,Brahms,1,2.833333333
