offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
0.0,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
1.25,<music21.chord.Chord B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
1.5,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
2.0,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
2.75,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
3.0,<music21.chord.Chord B4 B3 A4>,"[0, 2]","[9, 11]",Album for Children 4 Cumpleanos E major.mid,,,
3.75,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
4.0,<music21.chord.Chord C#5 B4 B3 G4>,"[0, 4, 6]","[7, 11, 1]",Album for Children 4 Cumpleanos E major.mid,,,
4.75,<music21.chord.Chord C#5 B4 G4>,"[0, 4, 6]","[7, 11, 1]",Album for Children 4 Cumpleanos E major.mid,,,
5.0,<music21.chord.Chord B4 D5 B3 F#4>,"[0, 3, 7]","[11, 2, 6]",Album for Children 4 Cumpleanos E major.mid,,,
5.625,<music21.chord.Chord B4 D5 F#4>,"[0, 3, 7]","[11, 2, 6]",Album for Children 4 Cumpleanos E major.mid,,,
5.75,<music21.chord.Chord F#4>,[0],[6],Album for Children 4 Cumpleanos E major.mid,,,
6.0,<music21.chord.Chord A4 E-5 B3 F4>,"[0, 2, 6, 8]","[3, 5, 9, 11]",Album for Children 4 Cumpleanos E major.mid,,,
7.25,<music21.chord.Chord A4 E-5 F4>,"[0, 2, 6]","[3, 5, 9]",Album for Children 4 Cumpleanos E major.mid,,,
7.375,<music21.chord.Chord F4>,[0],[5],Album for Children 4 Cumpleanos E major.mid,,,
7.5,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
8.0,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
9.0,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
11.5,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
12.0,<music21.chord.Chord E-5 E3>,"[0, 1]","[3, 4]",Album for Children 4 Cumpleanos E major.mid,,,
13.0,<music21.chord.Chord E-5 B3 G#3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,,,
13.25,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,,,
14.0,<music21.chord.Chord E-5 G#3 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,,,
14.125,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,,,
15.0,<music21.chord.Chord F3>,[0],[5],Album for Children 4 Cumpleanos E major.mid,,,
15.5,<music21.chord.Chord E-5 F3>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,,,
16.0,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,,,
16.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,,,
17.0,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,,,
17.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,,,
17.5,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
18.0,<music21.chord.Chord E-5 E3>,"[0, 1]","[3, 4]",Album for Children 4 Cumpleanos E major.mid,,,
19.0,<music21.chord.Chord E-5 G#3 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,,,
19.125,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,,,
20.0,<music21.chord.Chord E-5 G#3 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,,,
20.125,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,,,
21.0,<music21.chord.Chord E-5 F3>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,,,
21.125,<music21.chord.Chord F3>,[0],[5],Album for Children 4 Cumpleanos E major.mid,,,
21.5,<music21.chord.Chord E-5 F3>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,,,
22.0,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,,,
22.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,,,
23.0,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,,,
23.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,,,
23.5,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,,,
24.0,<music21.chord.Chord E-5 E3>,"[0, 1]","[3, 4]",Album for Children 4 Cumpleanos E major.mid,,,
